fecha,temp_media,lluvia_mm,es_festivo,es_vispera_festivo,semana_cobro,evento_especial
2025-01-01,9.9,5.0,True,False,True,Año Nuevo
2025-01-02,10.1,0.0,False,False,True,
2025-01-03,13.0,0.0,False,False,True,
2025-01-04,14.0,0.0,False,False,True,
2025-01-05,13.6,0.0,False,True,True,
2025-01-06,13.9,0.0,True,False,True,Epifanía del Señor
2025-01-07,12.4,0.0,False,False,True,
2025-01-08,15.2,0.0,False,False,False,
2025-01-09,17.0,0.0,False,False,False,
2025-01-10,16.1,0.0,False,False,False,
2025-01-11,18.5,0.0,False,False,False,
2025-01-12,14.6,0.0,False,False,False,
2025-01-13,10.0,0.0,False,False,False,
2025-01-14,7.8,0.0,False,False,True,
2025-01-15,7.4,0.0,False,False,True,
2025-01-16,7.9,3.9,False,False,True,
2025-01-17,10.3,3.6,False,False,True,
2025-01-18,9.7,0.0,False,False,True,
2025-01-19,8.9,0.0,False,False,True,
2025-01-20,10.1,0.0,False,False,True,
2025-01-21,12.4,1.9,False,False,True,
2025-01-22,13.4,0.0,False,False,False,
2025-01-23,15.8,0.0,False,False,False,
2025-01-24,16.0,0.0,False,False,False,
2025-01-25,15.1,0.0,False,False,False,
2025-01-26,14.5,0.0,False,False,False,
2025-01-27,19.9,0.7,False,False,False,
2025-01-28,14.8,0.0,False,False,False,
2025-01-29,12.8,1.5,False,False,False,
2025-01-30,13.2,0.5,False,False,False,
2025-01-31,13.1,0.0,False,False,False,
2025-02-01,9.3,12.2,False,False,True,
2025-02-02,9.6,0.0,False,False,True,
2025-02-03,9.8,0.0,False,False,True,
2025-02-04,11.1,0.0,False,False,True,
2025-02-05,10.5,0.0,False,False,True,
2025-02-06,10.0,0.0,False,False,True,
2025-02-07,10.3,0.7,False,False,True,
2025-02-08,13.7,0.0,False,False,False,
2025-02-09,11.1,0.0,False,False,False,
2025-02-10,11.5,0.0,False,False,False,
2025-02-11,12.4,0.0,False,False,False,
2025-02-12,13.2,8.6,False,False,False,
2025-02-13,13.3,0.0,False,False,False,
2025-02-14,14.5,0.0,False,False,True,
2025-02-15,13.2,0.0,False,False,True,
2025-02-16,13.1,0.0,False,False,True,
2025-02-17,13.3,0.0,False,False,True,
2025-02-18,12.6,0.0,False,False,True,
2025-02-19,12.7,0.0,False,False,True,
2025-02-20,13.2,0.0,False,False,True,
2025-02-21,14.2,0.0,False,False,True,
2025-02-22,13.1,6.0,False,False,False,
2025-02-23,13.5,1.2,False,False,False,
2025-02-24,13.6,0.0,False,False,False,
2025-02-25,16.0,0.0,False,False,False,
2025-02-26,12.2,0.0,False,False,False,
2025-02-27,11.5,0.0,False,False,False,
2025-02-28,11.7,1.1,False,False,False,
2025-03-01,12.4,1.2,False,False,True,
2025-03-02,11.8,3.0,False,False,True,
2025-03-03,12.9,27.2,False,False,True,
2025-03-04,13.7,10.9,False,False,True,
2025-03-05,13.4,22.4,False,False,True,
2025-03-06,13.9,16.5,False,False,True,
2025-03-07,13.6,0.9,False,False,True,
2025-03-08,13.8,7.3,False,False,False,
2025-03-09,13.5,0.5,False,False,False,
2025-03-10,13.1,0.2,False,False,False,
2025-03-11,14.3,0.7,False,False,False,
2025-03-12,14.9,0.0,False,False,False,
2025-03-13,12.5,9.2,False,False,False,
